2026-08-04 13:49:27 [main] INFO  com.demoqa.listeners.TestListener - ========== SUITE EXECUTION STARTED: Hybrid ==========
2026-08-04 13:49:35 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testTextBoxSubmission
2026-08-04 13:49:39 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testTextBoxSubmission
2026-08-04 13:49:49 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testComplexTreeCheckboxes
2026-08-04 13:49:53 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testComplexTreeCheckboxes
2026-08-04 13:50:02 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testRadioSelections
2026-08-04 13:50:05 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testRadioSelections
2026-08-04 13:50:14 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testTableRecordOperations
2026-08-04 13:50:29 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testTableRecordOperations
2026-08-04 13:50:40 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testAdvancedInteractions
2026-08-04 13:50:44 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testAdvancedInteractions
2026-08-04 13:50:54 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testWindowNavigationAndMockApiLinks
2026-08-04 13:50:59 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testWindowNavigationAndMockApiLinks
2026-08-04 13:51:09 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testAssetsAndHyperlinks
2026-08-04 13:51:13 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testAssetsAndHyperlinks
2026-08-04 13:51:22 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testFileTransferModules
2026-08-04 13:51:26 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testFileTransferModules
2026-08-04 13:51:38 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: testDynamicDelays
2026-08-04 13:51:46 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: testDynamicDelays
2026-08-04 13:51:52 [main] INFO  com.demoqa.listeners.TestListener - ========== SUITE EXECUTION FINISHED: Hybrid ==========
2026-08-04 13:51:53 [main] INFO  com.demoqa.listeners.TestListener - ========== SUITE EXECUTION STARTED: Hybrid ==========
2026-08-04 13:51:53 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Validate image rendering and link HTTP status codes
2026-08-04 13:51:54 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Validate image rendering and link HTTP status codes ==========
2026-08-04 13:52:03 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Validate image rendering and link HTTP status codes | Status: PASSED
2026-08-04 13:52:03 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:52:08 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Validate image rendering and link HTTP status codes
2026-08-04 13:52:08 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Perform double, right, and dynamic clicks
2026-08-04 13:52:08 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Perform double, right, and dynamic clicks ==========
2026-08-04 13:52:17 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Perform double, right, and dynamic clicks | Status: PASSED
2026-08-04 13:52:17 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:52:26 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Perform double, right, and dynamic clicks
2026-08-04 13:52:26 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Execute complex tree checkbox selections
2026-08-04 13:52:26 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Execute complex tree checkbox selections ==========
2026-08-04 13:52:37 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Execute complex tree checkbox selections | Status: PASSED
2026-08-04 13:52:37 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:52:42 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Execute complex tree checkbox selections
2026-08-04 13:52:42 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Wait for dynamic element properties
2026-08-04 13:52:42 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Wait for dynamic element properties ==========
2026-08-04 13:52:58 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Wait for dynamic element properties | Status: PASSED
2026-08-04 13:52:58 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:53:06 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Wait for dynamic element properties
2026-08-04 13:53:06 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Follow simple and API links
2026-08-04 13:53:06 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Follow simple and API links ==========
2026-08-04 13:53:18 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Follow simple and API links | Status: PASSED
2026-08-04 13:53:18 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:53:24 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Follow simple and API links
2026-08-04 13:53:24 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Select radio buttons and verify states
2026-08-04 13:53:24 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Select radio buttons and verify states ==========
2026-08-04 13:53:32 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Select radio buttons and verify states | Status: PASSED
2026-08-04 13:53:32 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:53:37 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Select radio buttons and verify states
2026-08-04 13:53:37 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Successfully submit the text box form
2026-08-04 13:53:37 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Successfully submit the text box form ==========
2026-08-04 13:53:47 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Successfully submit the text box form | Status: PASSED
2026-08-04 13:53:47 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:53:52 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Successfully submit the text box form
2026-08-04 13:53:52 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Download and upload a sample file
2026-08-04 13:53:52 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Download and upload a sample file ==========
2026-08-04 13:54:01 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Download and upload a sample file | Status: PASSED
2026-08-04 13:54:01 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:54:08 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Download and upload a sample file
2026-08-04 13:54:08 [main] INFO  com.demoqa.listeners.TestListener - Starting Test: Add and search for a table record
2026-08-04 13:54:08 [main] INFO  com.demoqa.hooks.CucumberHooks - ========== Starting BDD Scenario: Add and search for a table record ==========
2026-08-04 13:54:27 [main] INFO  com.demoqa.hooks.CucumberHooks - Scenario Finished: Add and search for a table record | Status: PASSED
2026-08-04 13:54:27 [main] INFO  com.demoqa.hooks.CucumberHooks - ==========================================================================
2026-08-04 13:54:33 [main] INFO  com.demoqa.listeners.TestListener - Test Passed: Add and search for a table record
2026-08-04 13:54:33 [main] INFO  com.demoqa.listeners.TestListener - ========== SUITE EXECUTION FINISHED: Hybrid ==========
